"","Species","Activity","max_SVL"
"1","Lygodactylus arnoulti","Diurnal",37
"2","Lygodactylus bivittis","Diurnal",36
"3","Lygodactylus blancae","Diurnal",35
"4","Lygodactylus blanci","Diurnal",39
"5","Lygodactylus decaryi","Diurnal",27
"6","Lygodactylus expectatus","Diurnal",31
"7","Lygodactylus guibei","Diurnal",40
"8","Lygodactylus heterurus","Diurnal",28
"9","Lygodactylus intermedius","Diurnal",32
"10","Lygodactylus klemmeri","Diurnal",28
"11","Lygodactylus madagascariensis","Diurnal",37
"12","Lygodactylus miops","Diurnal",34
"13","Lygodactylus mirabilis","Diurnal",29
"14","Lygodactylus montanus","Diurnal",38
"15","Lygodactylus ornatus","Diurnal",28
"16","Lygodactylus pauliani","Diurnal",36
"17","Lygodactylus pictus","Diurnal",41
"18","Lygodactylus rarus","Diurnal",37
"19","Lygodactylus roavolana","Diurnal",24
"20","Lygodactylus tolampyae","Diurnal",35
"21","Lygodactylus tuberosus","Diurnal",38
"22","Lygodactylus verticillatus","Diurnal",35
"23","Paroedura androyensis","Nocturnal",47
"24","Paroedura bastardi","Nocturnal",80
"25","Paroedura gracilis","Nocturnal",67
"26","Paroedura hordiesi","Nocturnal",58
"27","Paroedura karstophila","Nocturnal",55
"28","Paroedura lohatsara","Nocturnal",81
"29","Paroedura maingoka","Nocturnal",71
"30","Paroedura masobe","Nocturnal",107
"31","Paroedura oviceps","Nocturnal",69
"32","Paroedura picta","Nocturnal",92
"33","Paroedura sanctijohannis","Nocturnal",80
"34","Paroedura stellata","Nocturnal",62
"35","Paroedura stumpffi","Nocturnal",75
"36","Paroedura vahiny","Nocturnal",42
"37","Paroedura vazimba","Nocturnal",50
"38","Phelsuma abbotti","Diurnal",65
"39","Phelsuma antanosy","Diurnal",48
"40","Phelsuma astriata","Diurnal",60
"41","Phelsuma barbouri","Diurnal",64
"42","Phelsuma berghofi","Diurnal",58
"43","Phelsuma breviceps","Diurnal",54
"44","Phelsuma comorensis","Diurnal",56
"45","Phelsuma dorsivittata","Diurnal",57
"46","Phelsuma dubia","Diurnal",70
"47","Phelsuma flavigularis","Diurnal",70
"48","Phelsuma gouldi","Diurnal",45
"49","Phelsuma grandis","Diurnal",118
"50","Phelsuma guttata","Diurnal",68
"51","Phelsuma hielscheri","Diurnal",73
"52","Phelsuma hoeschi","Diurnal",37
"53","Phelsuma kely","Diurnal",33
"54","Phelsuma klemmeri","Diurnal",43
"55","Phelsuma kochi","Diurnal",115
"56","Phelsuma laticauda","Diurnal",65
"57","Phelsuma lineata","Diurnal",65
"58","Phelsuma madagascariensis","Diurnal",120
"59","Phelsuma malamakibo","Diurnal",61
"60","Phelsuma masohoala","Diurnal",47
"61","Phelsuma modesta","Diurnal",46
"62","Phelsuma mutabilis","Diurnal",50
"63","Phelsuma nigristriata","Diurnal",45
"64","Phelsuma parva","Diurnal",36
"65","Phelsuma pasteuri","Diurnal",53
"66","Phelsuma pronki","Diurnal",50
"67","Phelsuma pusilla","Diurnal",37
"68","Phelsuma quadriocellata","Diurnal",61
"69","Phelsuma ravenala","Diurnal",61
"70","Phelsuma robertmertensi","Diurnal",50
"71","Phelsuma roesleri","Diurnal",38
"72","Phelsuma seippi","Diurnal",55
"73","Phelsuma serraticauda","Diurnal",66
"74","Phelsuma standingi","Diurnal",93
"75","Phelsuma sundbergi","Diurnal",110
"76","Phelsuma vanheygeni","Diurnal",35
"77","Phelsuma vnigra","Diurnal",53
"78","Uroplatus alluaudi","Nocturnal",79
"79","Uroplatus ebenaui","Nocturnal",71
"80","Uroplatus fiera","Nocturnal",78
"81","Uroplatus fimbriatus","Nocturnal",195
"82","Uroplatus finiavana","Nocturnal",65
"83","Uroplatus fotsivava","Nocturnal",71
"84","Uroplatus giganteus","Nocturnal",200
"85","Uroplatus guentheri","Nocturnal",79
"86","Uroplatus henkeli","Nocturnal",160
"87","Uroplatus kelirambo","Nocturnal",78
"88","Uroplatus lineatus","Nocturnal",170
"89","Uroplatus malahelo","Nocturnal",79
"90","Uroplatus malama","Nocturnal",78
"91","Uroplatus phantasticus","Nocturnal",86
"92","Uroplatus pietschmanni","Nocturnal",81
"93","Uroplatus sameiti","Nocturnal",116
"94","Uroplatus sikorae","Nocturnal",123
